Part,Quantity,Price,Link
Kailh Hotswaps,70,$4.30,https://www.aliexpress.us/item/3256807045726008.html?spm=a2g0o.productlist.main.6.626d50b5izCjus&algo_pvid=53812c83-dfd7-4376-8f8e-c34f3db6f02e&algo_exp_id=53812c83-dfd7-4376-8f8e-c34f3db6f02e-5&pdp_ext_f=%7B%22order%22%3A%22708%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%218.49%213.91%21%21%2160.92%2128.02%21%402103244b17542247069335737e297b%2112000039893759775%21sea%21US%216238534509%21X&curPageLogUid=VnLZ55itI6I3&utparam-url=scene%3Asearch%7Cquery_from%3A
Choc Switches,1 Pack of 70,$33.29,https://www.amazon.com/Mechanical-Keyboard-switches-Chocolate-Pro-70Pcs/dp/B0DDCBL4KJ/ref=sr_1_3?crid=32V01OVDG0FH6&dib=eyJ2IjoiMSJ9.fxBe5Z4GEMZJbyuF_eaa4d6xI5EsW9uxe8cNgFLYw9cyOJJo5evMOuEAVRduMsGcHGBmw3MapZWf-BWJmWWDj5YY16v4twxpLxE8v6OxY93s_vstH-ICQffONlwd1cMobpg0_pCQesoQGqMTI_Z54wqwIzkdmZYqtPJTFfRFv11-gn-8LCyKCC6uGZ-SY1KXOGvvkI4U1F0dRwDqiQvPOQNUksX0ZSc9md0I7E6eDgI.r2LF0urYCczODaFRTe6UtlDuNLtg5oKRx1Cg0aavuK4&dib_tag=se&keywords=kailh%2Bchoc%2Bred%2Bpro&qid=1754222624&sprefix=choc%2Bpro%2Bred%2Caps%2C268&sr=8-3&th=1
1N4148 Diodes,1 Pack of 100,$1.40,https://www.aliexpress.us/item/3256806137153769.html?spm=a2g0o.productlist.main.1.145669f2x3hJ9l&algo_pvid=26801ca0-fa57-43dc-bef8-9addec3b9d2b&algo_exp_id=26801ca0-fa57-43dc-bef8-9addec3b9d2b-0&pdp_ext_f=%7B%22order%22%3A%22395%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.40%211.40%21%21%2110.01%2110.01%21%40210312d517540153367636770eae10%2112000041342157154%21sea%21US%216238534509%21X&curPageLogUid=Ny6g9i4BYw4L&utparam-url=scene%3Asearch%7Cquery_from%3A
Nice!View,2,$40.00,https://typeractive.xyz/products/nice-view
Supermini NRF52840,2,$5.77,https://www.aliexpress.us/item/3256807552571798.html?gatewayAdapt=glo2usa4itemAdapt#nav-description
Reset Button,1 Pack of 2,$1.50,https://typeractive.xyz/products/reset-button
Power Switch,1 Pack of 2,$1.50,https://typeractive.xyz/products/power-switch
Mill Max,2,$13,https://typeractive.xyz/products/machine-sockets-and-pins
110 mAh Battery,2,$8,https://typeractive.xyz/products/lithium-battery-110mah
2 Pin JST Connector,1,$1,https://typeractive.xyz/products/battery-jack
M2 Screws,1 Pack of 50,$1.39,https://www.aliexpress.us/item/3256804883804669.html?spm=a2g0o.productlist.main.3.676d4a04puFjcK&algo_pvid=5e3e1c98-a0c4-41b2-8421-3b391eda04d1&algo_exp_id=5e3e1c98-a0c4-41b2-8421-3b391eda04d1-2&pdp_ext_f=%7B%22order%22%3A%228174%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%211.39%211.39%21%21%211.39%211.39%21%402103146f17540168510077312e23ad%2112000031519353259%21sea%21US%216238534509%21X&curPageLogUid=0PSBLs6x4RdT&utparam-url=scene%3Asearch%7Cquery_from%3A
PCB,1,$29.85,JLCPCB Quote
SK6812 Mini E LED,1 Pack of 100,$3,https://www.aliexpress.us/item/3256802678755423.html?spm=a2g0o.productlist.main.2.27821d099KdCZl&algo_pvid=7249bb9b-f5c3-48bb-bc3a-09065b37749b&algo_exp_id=7249bb9b-f5c3-48bb-bc3a-09065b37749b-1&pdp_ext_f=%7B%22order%22%3A%2241%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21USD%213.00%213.00%21%21%213.00%213.00%21%402103244617540165427321188e4179%2112000047195883401%21sea%21US%216238534509%21X&curPageLogUid=4d6uXghCzMX0&utparam-url=scene%3Asearch%7Cquery_from%3A
Acrylic Sheet,1,$6,https://www.aliexpress.us/item/3256805181326548.html?spm=a2g0o.productlist.main.2.5cf532dcuTgGyL&algo_pvid=d63ddc6f-f83b-4167-8278-58e0f554d458&algo_exp_id=d63ddc6f-f83b-4167-8278-58e0f554d458-1&pdp_ext_f=%7B%22order%22%3A%2291%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21USD%215.59%215.59%21%21%215.59%215.59%21%402103010e17547508573393302ec876%2112000032764729173%21sea%21US%216238534509%21X%211%210%21n_tag%3A-29912%3Bm03_new_user%3A-29895&curPageLogUid=NKCBaqv2ZbsG&utparam-url=scene%3Asearch%7Cquery_from%3A
Total,,$149.59,